EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
206486362,3,4206,4.76,3.65,0.27,0.84,5.33,14.44,5.63,1.0,0.0,0.0,0.0,3.678806883200447,0.053771731053144145,
206490871,3,4218,4.75,9.93,0.59,0.69,1.49,15.45,7.14,1.0,0.0,0.0,0.0,115.26907458190786,0.02675839484081033,
206495298,3,4139,4.77,6.46,0.39,0.66,3.95,15.4,,1.0,0.0,0.0,0.0,172.9037362620511,0.060881855115963446,
210358075,4,4432,4.68,7.03,0.42,0.69,4.88,12.95,6.6,1.0,4.0,6.710463881654206,0.03673163652420042,6.948808141421657,0.06306660925885155,5.0
210404194,4,4113,4.8,5.2,0.33,0.7,2.84,14.05,5.9,1.0,0.0,0.0,0.0,88.59706849021677,0.05833468586682422,
210414696,4,4050,4.8,1.46,0.21,0.77,1.97,14.92,,1.0,0.0,0.0,0.0,118.12992081620905,0.041393530347577756,
210457290,4,4161,4.78,8.64,0.51,0.92,8.81,15.93,8.12,1.0,0.0,0.0,0.0,8.6436560129191,0.11600860265935686,
210469721,4,4202,4.76,4.83,0.32,0.46,2.07,14.99,8.77,1.0,0.0,0.0,0.0,4.922063103675908,0.023132579085435423,
210471083,4,4094,4.86,9.39,0.55,0.65,3.78,13.06,6.13,1.0,4.0,4.9038301327801905,0.010256510972976751,9.578102444830693,0.04347118581605636,5.0
210480055,4,4139,4.78,2.57,0.24,0.68,1.77,15.41,,1.0,0.0,0.0,0.0,177.1940345902476,0.04846575717541557,
210505000,4,4058,4.87,5.09,0.33,0.83,5.45,12.96,,1.0,0.0,0.0,0.0,5.136057360814183,0.06305769370280856,
210509163,4,4178,4.77,1.41,0.21,0.86,3.7,16.2,,1.0,0.0,0.0,0.0,1.4063049844466264,0.041648900284311674,
210565257,4,4494,4.93,3.5,0.27,0.51,4.27,17.16,,1.0,0.0,0.0,0.0,3.4406596990433593,0.05658894171699913,
210598969,4,4019,4.81,4.99,0.32,0.92,3.24,13.69,5.03,1.0,0.0,0.0,0.0,4.922054153738727,0.03234560699661915,
210622523,4,4494,4.83,3.8,0.28,0.57,2.39,17.95,,1.0,0.0,0.0,0.0,0.36125237265301574,0.0373623351578215,
210635023,4,4113,4.8,5.07,0.33,0.58,4.89,16.64,,1.0,0.0,0.0,0.0,118.12929367843026,0.06463065799024192,
210651981,4,4128,4.78,2.41,0.24,0.49,3.27,11.25,,2.0,4.0,2.435741751987098,0.038995230197906405,177.19522331692133,0.04826351671244644,43.0
210701183,4,4158,4.79,1.67,0.22,0.78,4.37,14.44,8.49,1.0,0.0,0.0,0.0,1.6795654644612672,0.058543284520875316,
210706205,4,4123,4.79,5.66,0.35,0.54,1.08,16.58,,1.0,0.0,0.0,0.0,354.38845471020613,0.021455952966679237,
210710312,4,4109,4.78,6.48,0.39,0.5,2.78,14.17,8.01,1.0,0.0,0.0,0.0,118.13001167206193,0.0904313743555305,
210747390,4,4119,4.78,5.0,0.32,0.82,4.16,15.07,,1.0,0.0,0.0,0.0,4.991378038835713,0.04948381908732602,
210783094,4,4469,4.82,5.02,0.32,0.82,7.33,13.54,6.99,1.0,0.0,0.0,0.0,4.991386881546801,0.0730582979484754,
210786758,4,4144,4.78,3.21,0.26,0.83,2.89,15.43,,1.0,0.0,0.0,0.0,118.1297129068844,0.04975463815311698,
210808522,4,4194,4.77,5.56,0.35,0.86,2.1,16.44,,1.0,0.0,0.0,0.0,5.625230003845192,0.026808161167987787,
210813959,4,4238,4.75,1.46,0.21,0.91,4.93,16.24,,1.0,0.0,0.0,0.0,1.4644132636337515,0.07277408433287158,
210952746,4,4259,4.74,8.43,0.49,0.75,5.51,16.42,5.41,1.0,0.0,0.0,0.0,8.241584074311568,0.06364422331081676,
210961385,4,4094,4.79,2.81,0.25,0.37,2.22,16.39,,1.0,0.0,0.0,0.0,1.406306862460215,0.04790598353764075,
210965155,4,4171,4.79,6.46,0.39,0.49,1.06,13.38,7.58,1.0,3.0,4.935556121713983,0.017314726114273093,6.443427167961172,0.012258831633196632,42.0
